id;ARTICLE;ROW
1;I. Необоротні активи;
2;     Нематеріальні активи;1000
3;         первісна вартість;1001
4;         накопичена амортизація;1002
5;     Незавершені капітальні інвестиції;1005
6;     Основні засоби;1010
7;         первісна вартість;1011
8;         знос;1012
9;     Інвестиційна нерухомість;1015
10;         первісна вартість інвестиційної нерухомості;1016
11;         знос інвестиційної нерухомості;1017
12;     Довгострокові біологічні активи;1020
13;         Первісна вартість довгострокових біологічних активів;1021
14;         Накопичена амортизація довгострокових біологічних активів;1022
15;     Довгострокові фінансові інвестиції які обліковуються заметодом участі в капіталі інших підприємств;1030
16;     інші фінансові інвестиції;1035
17;     Довгострокова дебіторська заборгованість;1040
18;     Відстрочені податкові активи;1045
19;     Гудвіл;1050
20;     Відстрочені аквізиційні витрати;1060
21;     Залишок коштів у централізованих страхових резервних фондах;1065
22;     Інші необоротні активи;1090
23;Усього за розділом I;1095
24;II. Оборотні активи;
25;     Запаси;1100
26;     Виробничі запаси;1101
27;     Незавершене виробництво;1102
28;     Готова продукція;1103
29;     Товари;1104
30;     Поточні біологічні активи;1110
31;     Депозити перестрахування;1115
32;     Векселі одержані;1120
33;     Дебіторська заборгованість за продукцію, товари, роботи, послуги;1125
34;     Дебіторська заборгованість за розрахунками: за виданими авансами;1130
35;     з бюджетом;1135
36;         у тому числі з податку на прибуток;1136
37;     Дебіторська заборгованість за розрахунками з нарахованих доходів;1140
38;     Дебіторська заборгованість за розрахунками із внутрішніх розрахунків;1145
39;     Інша поточна дебіторська заборгованість;1155
40;     Поточні фінансові інвестиції;1160
41;     Гроші та їх еквіваленти;1165
42;Готівка;1166
43;Рахунки в банках;1167
44;     Витрати майбутніх періодів;1170
45;     Частка перестраховика у страхових резервах;1180
46;           у тому числі в: резервах довгострокових зобов'язань;1181
47;           резервах збитків або резервах належних виплат;1182
48;           резервах незароблених премій;1183
49;           інших страхових резервах;1184
50;      Інші оборотні активи;1190
51;Усього за розділом II;1195
52;III. Необоротні активи, утримувані для продажу, та групи вибуття;1200
53;БАЛАНС;1300
54;Пасив;
55;I. Власний капітал;
56;      Зареєстрований капітал;1400
57;      Внески до незареєстрованого статутного капіталу;1401
58;      Капітал у дооцінках;1405
59;      Додатковий капітал;1410
60;      Емісійний дохід;1411
61;      Накопичені курсові різниці;1412
62;      Резервний капітал;1415
63;      Нерозподілений прибуток (непокритий збиток);1420
64;      Неоплачений капітал;1425
65;      Вилучений капітал;1430
66;      Інші резерви;1435
67;Усього за розділом I;1495
68;II. Довгострокові зобов'язання і забезпечення;
69;      Відстрочені податкові зобов'язання;1500
70;      Пенсійні зобов'язання;1505
71;      Довгострокові кредити банків;1510
72;      Інші довгострокові зобов'язання;1515
73;      Довгострокові забезпечення;1520
74;      Довгострокові забезпечення витрат персоналу;1521
75;      Цільове фінансування;1525
76;      Благодійна допомога;1526
77;      Страхові резерви;1530
78;           у тому числі:резерв довгострокових зобов'язань;1531
79;           резерв збитків або резерв належних виплат;1532
80;           резерв незароблених премій;1533
81;           інші страхові резерви;1534
82;      Інвестиційні контракти;1535
83;      Призовий фонд;1540
84;      Резерв на виплату джек-поту;1545
85;Усього за розділом II;1595
86;IІІ. Поточні зобов'язання і забезпечення;
87;      Короткострокові кредити банків;1600
88;      Векселі видані;1605
89;      Поточна кредиторська заборгованість за: довгостроковими зобов'язаннями;1610
90;           товари, роботи, послуги;1615
91;           розрахунками з бюджетом;1620
92;           у тому числі з податку на прибуток;1621
93;           розрахунками зі страхування;1625
94;           розрахунками з оплати праці;1630
95;      Поточна кредиторська заборгованість за одержаними авансами;1635
96;      Поточна кредиторська заборгованість за розрахунками з учасниками;1640
97;      Поточна кредиторська заборгованість із внутрішніх розрахунків;1645
98;      Поточна кредиторська заборгованість за страховою діяльністю;1650
99;      Поточні забезпечення;1660
100;      Доходи майбутніх періодів;1665
101;      Відстрочені комісійні доходи від перестраховиків;1670
102;      Інші поточні зобов'язання;1690
103;Усього за розділом IІІ;1695
104;ІV. Зобов'язання, пов'язані з необоротними активами, утримуваними для продажу, та групами вибуття;1700
105;V. Чиста вартість активів недержавного пенсійного фонду;1800
106;БАЛАНС;1900
