id;ARTICLE;ROW
1;Чистий дохід від реалізації продукції (товарів, робіт, послуг);2000
2;Чисті зароблені страхові премії;2010
3;Премії підписані, валова сума;2011
4;Премії, передані у перестрахування;2012
5;Зміна резерву незароблених премій, валова сума;2013
6;Зміна частки перестраховиків у резерві незароблених премій;2014
7;Собівартість реалізованої продукції (товарів, робіт, послуг);2050
8;Чисті понесені збитки за страховими виплатами;2070
9;Валовий:;
10;прибуток;2090
11;збиток;2095
12;Дохід (витрати) від зміни у резервах довгострокових зобов'язань;2105
13;Дохід (витрати) від зміни інших страхових резервів;2110
14;Зміна інших страхових резервів, валова сума;2111
15;Зміна частки перестраховиків в інших страхових резервах;2112
16;Інші операційні доходи;2120
17;Дохід від зміни вартості активів, які оцінюються за справедливою вартістю;2121
18;Дохід від первісного визнання біологічних активів і сільськогосподарської продукції;2122
19;Дохід від використання коштів, вивільнених від оподаткування;2123
20;Адміністративні витрати;2130
21;Витрати на збут;2150
22;Інші доходи;2160
23;Інші витрати;2165
24;Інші операційні витрати;2180
25;Витрат від зміни вартості активів, які оцінюються за справедливою вартістю;2181
26;Витрат від первісного визнання біологічних активів і сільськогосподарської продукції;2182
27;Фінансовий результат від операційної діяльності:;
28;прибуток;2190
29;збиток;2195
30;Дохід від участі в капіталі;2200
31;Інші фінансові доходи;2220
32;Інші доходи;2240
33;Дохід від благодійної допомоги;2241
34;Фінансові витрати;2250
35;Втрати від участі в капіталі;2255
36;Інші витрати;2270
37;Прибуток (збиток) від впливу інфляції на монетарні статті;2275
38;Разом доходи;2280
39;Разом витрати;2285
40;Фінансовий результат до оподаткування:;
41;прибуток;2290
42;збиток;2295
43;Витрати (дохід) з податку на прибуток;2300
44;Прибуток (збиток) від припиненої діяльності після оподаткування;2305
45;Витрати (доходи), які зменшують (збільшують) фінансовий результат після оподаткування;2310
46;Чистий фінансовий результат:;
47;прибуток;2350
48;збиток;2355
49;II. СУКУПНИЙ ДОХІД;
50;Дооцінка (уцінка) необоротних активів;2400
51;Дооцінка (уцінка) фінансових інструментів;2405
52;Накопичені курсові різниці;2410
53;Частка іншого сукупного доходу асоційованих та спільних підприємств;2415
54;Інший сукупний дохід;2445
55;Інший сукупний дохід до оподаткування;2450
56;Податок на прибуток, пов'язаний з іншим сукупним доходом;2455
57;Інший сукупний дохід після оподаткування;2460
58;Сукупний дохід (сума рядків 2350, 2355 та 2460);2465
59;III. ЕЛЕМЕНТИ ОПЕРАЦІЙНИХ ВИТРАТ;
60;Матеріальні затрати;2500
61;Витрати на оплату праці;2505
62;Відрахування на соціальні заходи;2510
63;Амортизація;2515
64;Інші операційні витрати;2520
65;Разом;2550
66;ІV. РОЗРАХУНОК ПОКАЗНИКІВ ПРИБУТКОВОСТІ АКЦІЙ;
67;Середньорічна кількість простих акцій;2600
68;Скоригована середньорічна кількість простих акцій;2605
69;Чистий прибуток (збиток) на одну просту акцію;2610
70;Скоригований чистий прибуток (збиток) на одну просту акцію;2615
71;Дивіденди на одну просту акцію;2650
